Assembly constituency name,Age group,Total deletions,Reason for deletion,Male deletions,Female deletions,Gender imbalance in pct
Lauriya,18-29,"1,264",Duplicate enrolment,549,715,13.13
Lauriya,30-44,"1,686",Duplicate enrolment,867,819,-2.85
Lauriya,45-60,408,Duplicate enrolment,180,228,11.76
Lauriya,61-75,144,Duplicate enrolment,71,73,1.39
Lauriya,75+,24,Duplicate enrolment,10,14,16.67
Lauriya,18-29,"2,743",Permanently shifted,728,"2,015",46.92
Lauriya,30-44,"5,642",Permanently shifted,"2,394","3,248",15.14
Lauriya,45-60,"2,429",Permanently shifted,"1,269","1,160",-4.49
Lauriya,61-75,715,Permanently shifted,353,362,1.26
Lauriya,75+,175,Permanently shifted,71,104,18.86
Lauriya,18-29,769,Untraceable,278,491,27.7
Lauriya,30-44,"1,436",Untraceable,621,815,13.51
Lauriya,45-60,496,Untraceable,232,264,6.45
Lauriya,61-75,174,Untraceable,71,103,18.39
Lauriya,75+,43,Untraceable,18,25,16.28
Nautan,18-29,220,Deceased,104,116,5.45
Nautan,30-44,"1,120",Deceased,615,505,-9.82
Nautan,45-60,"1,885",Deceased,947,938,-0.48
Nautan,61-75,"3,363",Deceased,"1,643","1,720",2.29
Nautan,75+,"1,563",Deceased,753,810,3.65
Nautan,18-29,463,Duplicate enrolment,249,214,-7.56
Nautan,30-44,912,Duplicate enrolment,512,400,-12.28
Nautan,45-60,248,Duplicate enrolment,122,126,1.61
Nautan,61-75,98,Duplicate enrolment,50,48,-2.04
Nautan,75+,12,Duplicate enrolment,8,4,-33.33
Nautan,18-29,"1,296",Permanently shifted,382,914,41.05
Nautan,30-44,"3,249",Permanently shifted,"1,450","1,799",10.74
Nautan,45-60,"1,504",Permanently shifted,772,732,-2.66
Nautan,61-75,494,Permanently shifted,250,244,-1.21
Nautan,75+,92,Permanently shifted,50,42,-8.7
Nautan,18-29,285,Untraceable,135,150,5.26
Nautan,30-44,555,Untraceable,255,300,8.11
Nautan,45-60,225,Untraceable,114,111,-1.33
Nautan,61-75,76,Untraceable,25,51,34.21
Nautan,75+,13,Untraceable,6,7,7.69
Chanpatia,18-29,167,Deceased,73,94,12.57
Chanpatia,30-44,842,Deceased,394,448,6.41
Chanpatia,45-60,"1,498",Deceased,684,814,8.68
Chanpatia,61-75,"2,428",Deceased,"1,076","1,352",11.37
Chanpatia,75+,"1,214",Deceased,533,681,12.19
Chanpatia,18-29,442,Duplicate enrolment,213,229,3.62
Chanpatia,30-44,681,Duplicate enrolment,358,323,-5.14
Chanpatia,45-60,211,Duplicate enrolment,105,106,0.47
Chanpatia,61-75,52,Duplicate enrolment,23,29,11.54
Chanpatia,75+,12,Duplicate enrolment,6,6,0
Chanpatia,18-29,"1,228",Permanently shifted,384,844,37.46
Chanpatia,30-44,"2,307",Permanently shifted,970,"1,337",15.91
Chanpatia,45-60,989,Permanently shifted,507,482,-2.53
Chanpatia,61-75,259,Permanently shifted,125,134,3.47
Chanpatia,75+,49,Permanently shifted,25,24,-2.04
Chanpatia,18-29,323,Untraceable,143,180,11.46
Chanpatia,30-44,551,Untraceable,279,272,-1.27
Chanpatia,45-60,243,Untraceable,126,117,-3.7
Chanpatia,61-75,73,Untraceable,25,48,31.51
Chanpatia,75+,14,Untraceable,6,8,14.29
Bettiah,18-29,241,Deceased,125,116,-3.73
Bettiah,30-44,"1,440",Deceased,827,613,-14.86
Bettiah,45-60,"2,571",Deceased,"1,331","1,240",-3.54
Bettiah,61-75,"3,570",Deceased,"1,736","1,834",2.75
Bettiah,75+,"2,016",Deceased,"1,018",998,-0.99
Bettiah,18-29,623,Duplicate enrolment,303,320,2.73
Bettiah,30-44,"1,062",Duplicate enrolment,611,451,-15.07
Bettiah,45-60,369,Duplicate enrolment,188,181,-1.9
Bettiah,61-75,115,Duplicate enrolment,51,64,11.3
Bettiah,75+,19,Duplicate enrolment,12,7,-26.32
Bettiah,18-29,765,Permanently shifted,250,515,34.64
Bettiah,30-44,"1,866",Permanently shifted,834,"1,032",10.61
Bettiah,45-60,"1,008",Permanently shifted,539,469,-6.94
Bettiah,61-75,288,Permanently shifted,163,125,-13.19
Bettiah,75+,58,Permanently shifted,31,27,-6.9
Bettiah,18-29,219,Untraceable,110,109,-0.46
Bettiah,30-44,488,Untraceable,254,234,-4.1
Bettiah,45-60,163,Untraceable,79,84,3.07
Bettiah,61-75,71,Untraceable,34,37,4.23
Bettiah,75+,23,Untraceable,3,20,73.91
Sikta,18-29,216,Deceased,85,131,21.3
Sikta,30-44,855,Deceased,358,497,16.26
Sikta,45-60,"1,141",Deceased,486,655,14.81
Sikta,61-75,"1,872",Deceased,824,"1,048",11.97
Sikta,75+,789,Deceased,314,475,20.41
Sikta,18-29,977,Duplicate enrolment,531,446,-8.7
Sikta,30-44,"1,082",Duplicate enrolment,582,500,-7.58
Sikta,45-60,310,Duplicate enrolment,144,166,7.1
Sikta,61-75,104,Duplicate enrolment,49,55,5.77
Sikta,75+,16,Duplicate enrolment,8,8,0
Sikta,18-29,"2,778",Permanently shifted,"1,037","1,741",25.34
Sikta,30-44,"3,403",Permanently shifted,"1,416","1,987",16.78
Sikta,45-60,"1,244",Permanently shifted,588,656,5.47
Sikta,61-75,375,Permanently shifted,165,210,12
Sikta,75+,74,Permanently shifted,30,44,18.92
Sikta,18-29,"1,589",Untraceable,736,853,7.36
Sikta,30-44,"1,548",Untraceable,661,887,14.6
Sikta,45-60,461,Untraceable,218,243,5.42
Sikta,61-75,177,Untraceable,73,104,17.51
Sikta,75+,39,Untraceable,13,26,33.33
Raxaul,18-29,345,Deceased,167,178,3.19
Raxaul,30-44,"1,023",Deceased,531,492,-3.81
Raxaul,45-60,"1,739",Deceased,766,973,11.9
Raxaul,61-75,"2,759",Deceased,"1,274","1,485",7.65
Raxaul,75+,"1,369",Deceased,652,717,4.75
Raxaul,18-29,"1,005",Duplicate enrolment,452,553,10.05
Raxaul,30-44,"1,081",Duplicate enrolment,506,575,6.38
Raxaul,45-60,278,Duplicate enrolment,131,147,5.76
Raxaul,61-75,66,Duplicate enrolment,32,34,3.03
Raxaul,75+,13,Duplicate enrolment,3,10,53.85
Raxaul,18-29,"2,008",Permanently shifted,697,"1,311",30.58
Raxaul,30-44,"3,309",Permanently shifted,"1,499","1,810",9.4
Raxaul,45-60,"1,675",Permanently shifted,893,782,-6.63
Raxaul,61-75,500,Permanently shifted,257,243,-2.8
Raxaul,75+,100,Permanently shifted,47,53,6
Raxaul,18-29,"1,284",Untraceable,541,743,15.73
Raxaul,30-44,"1,813",Untraceable,796,"1,017",12.19
Raxaul,45-60,822,Untraceable,404,418,1.7
Raxaul,61-75,243,Untraceable,99,144,18.52
Raxaul,75+,56,Untraceable,18,38,35.71
Sugauli,18-29,264,Deceased,105,159,20.45
Sugauli,30-44,998,Deceased,446,552,10.62
Sugauli,45-60,"1,699",Deceased,713,986,16.07
Sugauli,61-75,"2,666",Deceased,"1,122","1,544",15.83
Sugauli,75+,"1,548",Deceased,605,943,21.83
Sugauli,18-29,739,Duplicate enrolment,356,383,3.65
Sugauli,30-44,"1,345",Duplicate enrolment,718,627,-6.77
Sugauli,45-60,387,Duplicate enrolment,190,197,1.81
Sugauli,61-75,98,Duplicate enrolment,53,45,-8.16
Sugauli,75+,14,Duplicate enrolment,11,3,-57.14
Sugauli,18-29,"1,588",Permanently shifted,421,"1,167",46.98
Sugauli,30-44,"3,297",Permanently shifted,"1,331","1,966",19.26
Sugauli,45-60,"1,665",Permanently shifted,791,874,4.98
Sugauli,61-75,446,Permanently shifted,224,222,-0.45
Sugauli,75+,126,Permanently shifted,51,75,19.05
Sugauli,18-29,698,Untraceable,316,382,9.46
Sugauli,30-44,"1,471",Untraceable,651,820,11.49
Sugauli,45-60,653,Untraceable,326,327,0.15
Sugauli,61-75,205,Untraceable,90,115,12.2
Sugauli,75+,74,Untraceable,27,47,27.03
Narkatia,18-29,395,Deceased,206,189,-4.3
Narkatia,30-44,"1,307",Deceased,706,601,-8.03
Narkatia,45-60,"2,603",Deceased,"1,222","1,381",6.11
Narkatia,61-75,"4,149",Deceased,"1,957","2,192",5.66
Narkatia,75+,"2,331",Deceased,"1,087","1,244",6.74
Narkatia,18-29,"1,237",Duplicate enrolment,636,601,-2.83
Narkatia,30-44,"1,324",Duplicate enrolment,670,654,-1.21
Narkatia,45-60,367,Duplicate enrolment,179,188,2.45
Narkatia,61-75,78,Duplicate enrolment,28,50,28.21
Narkatia,75+,27,Duplicate enrolment,12,15,11.11
Narkatia,18-29,"2,107",Permanently shifted,686,"1,421",34.88
Narkatia,30-44,"3,010",Permanently shifted,"1,268","1,742",15.75
Narkatia,45-60,"1,573",Permanently shifted,809,764,-2.86
Narkatia,61-75,451,Permanently shifted,224,227,0.67
Narkatia,75+,82,Permanently shifted,37,45,9.76
Narkatia,18-29,700,Untraceable,311,389,11.14
Narkatia,30-44,784,Untraceable,363,421,7.4
Narkatia,45-60,260,Untraceable,137,123,-5.38
Narkatia,61-75,79,Untraceable,32,47,18.99
Narkatia,75+,29,Untraceable,13,16,10.34
Harsidhi (SC),18-29,311,Deceased,122,189,21.54
Harsidhi (SC),30-44,847,Deceased,393,454,7.2
Harsidhi (SC),45-60,"1,634",Deceased,711,923,12.97
Harsidhi (SC),61-75,"2,186",Deceased,966,"1,220",11.62
Harsidhi (SC),75+,"1,178",Deceased,498,680,15.45
Harsidhi (SC),18-29,696,Duplicate enrolment,280,416,19.54
Harsidhi (SC),30-44,816,Duplicate enrolment,385,431,5.64
Harsidhi (SC),45-60,155,Duplicate enrolment,58,97,25.16
Harsidhi (SC),61-75,38,Duplicate enrolment,12,26,36.84
Harsidhi (SC),75+,2,Duplicate enrolment,1,1,0
Harsidhi (SC),18-29,"2,385",Permanently shifted,496,"1,889",58.41
Harsidhi (SC),30-44,"2,978",Permanently shifted,"1,140","1,838",23.44
Harsidhi (SC),45-60,"1,580",Permanently shifted,775,805,1.9
Harsidhi (SC),61-75,420,Permanently shifted,195,225,7.14
Harsidhi (SC),75+,92,Permanently shifted,44,48,4.35
Harsidhi (SC),18-29,764,Untraceable,264,500,30.89
Harsidhi (SC),30-44,859,Untraceable,352,507,18.04
Harsidhi (SC),45-60,280,Untraceable,119,161,15
Harsidhi (SC),61-75,85,Untraceable,35,50,17.65
Harsidhi (SC),75+,29,Untraceable,16,13,-10.34
Govindganj,18-29,247,Deceased,116,131,6.07
Govindganj,30-44,970,Deceased,464,506,4.33
Govindganj,45-60,"1,888",Deceased,848,"1,040",10.17
Govindganj,61-75,"3,003",Deceased,"1,278","1,725",14.89
Govindganj,75+,"2,048",Deceased,837,"1,211",18.26
Govindganj,18-29,"1,209",Duplicate enrolment,539,670,10.84
Govindganj,30-44,"2,096",Duplicate enrolment,"1,056","1,040",-0.76
Govindganj,45-60,685,Duplicate enrolment,312,373,8.91
Govindganj,61-75,183,Duplicate enrolment,76,107,16.94
Govindganj,75+,39,Duplicate enrolment,18,21,7.69
Govindganj,18-29,"3,120",Permanently shifted,728,"2,392",53.33
Govindganj,30-44,"4,249",Permanently shifted,"1,595","2,654",24.92
Govindganj,45-60,"2,621",Permanently shifted,"1,304","1,317",0.5
Govindganj,61-75,829,Permanently shifted,374,455,9.77
Govindganj,75+,212,Permanently shifted,94,118,11.32
Govindganj,18-29,"1,532",Untraceable,604,928,21.15
Govindganj,30-44,"2,114",Untraceable,881,"1,233",16.65
Govindganj,45-60,"1,054",Untraceable,493,561,6.45
Govindganj,61-75,358,Untraceable,138,220,22.91
Govindganj,75+,91,Untraceable,50,41,-9.89
Kesaria,18-29,312,Deceased,141,171,9.62
Kesaria,30-44,908,Deceased,418,490,7.93
Kesaria,45-60,"1,925",Deceased,921,"1,004",4.31
Kesaria,61-75,"2,908",Deceased,"1,373","1,535",5.57
Kesaria,75+,"2,152",Deceased,"1,018","1,134",5.39
Kesaria,18-29,949,Duplicate enrolment,464,485,2.21
Kesaria,30-44,"1,461",Duplicate enrolment,725,736,0.75
Kesaria,45-60,496,Duplicate enrolment,215,281,13.31
Kesaria,61-75,137,Duplicate enrolment,61,76,10.95
Kesaria,75+,25,Duplicate enrolment,11,14,12
Kesaria,18-29,"2,250",Permanently shifted,481,"1,769",57.24
Kesaria,30-44,"3,019",Permanently shifted,"1,174","1,845",22.23
Kesaria,45-60,"1,878",Permanently shifted,945,933,-0.64
Kesaria,61-75,593,Permanently shifted,297,296,-0.17
Kesaria,75+,126,Permanently shifted,57,69,9.52
Kesaria,18-29,"1,483",Untraceable,524,959,29.33
Kesaria,30-44,"2,505",Untraceable,"1,177","1,328",6.03
Kesaria,45-60,"1,398",Untraceable,660,738,5.58
Kesaria,61-75,475,Untraceable,209,266,12
Kesaria,75+,163,Untraceable,58,105,28.83
Kalyanpur,18-29,265,Deceased,107,158,19.25
Kalyanpur,30-44,942,Deceased,484,458,-2.76
