Assembly constituency name,Age group,Total deletions,Reason for deletion,Male deletions,Female deletions,Gender imbalance in pct
Forbesganj,30-44,"1,123",Untraceable,531,592,5.43
Forbesganj,45-60,390,Untraceable,188,202,3.59
Forbesganj,61-75,134,Untraceable,77,57,-14.93
Forbesganj,75+,30,Untraceable,12,18,20
Araria,18-29,419,Deceased,213,206,-1.67
Araria,30-44,"1,426",Deceased,718,708,-0.7
Araria,45-60,"2,467",Deceased,"1,124","1,343",8.88
Araria,61-75,"3,530",Deceased,"1,745","1,785",1.13
Araria,75+,"2,458",Deceased,"1,225","1,233",0.33
Araria,18-29,672,Duplicate enrolment,344,328,-2.38
Araria,30-44,"1,005",Duplicate enrolment,531,474,-5.67
Araria,45-60,302,Duplicate enrolment,169,133,-11.92
Araria,61-75,97,Duplicate enrolment,55,42,-13.4
Araria,75+,27,Duplicate enrolment,16,11,-18.52
Araria,18-29,"2,480",Permanently shifted,751,"1,729",39.44
Araria,30-44,"4,050",Permanently shifted,"1,496","2,554",26.12
Araria,45-60,"1,997",Permanently shifted,953,"1,044",4.56
Araria,61-75,666,Permanently shifted,340,326,-2.1
Araria,75+,190,Permanently shifted,87,103,8.42
Araria,18-29,812,Untraceable,367,445,9.61
Araria,30-44,"1,029",Untraceable,480,549,6.71
Araria,45-60,448,Untraceable,213,235,4.91
Araria,61-75,175,Untraceable,84,91,4
Araria,75+,78,Untraceable,42,36,-7.69
Jokihat,18-29,361,Deceased,181,180,-0.28
Jokihat,30-44,"1,554",Deceased,707,847,9.01
Jokihat,45-60,"2,565",Deceased,"1,018","1,547",20.62
Jokihat,61-75,"3,704",Deceased,"1,664","2,040",10.15
Jokihat,75+,"2,529",Deceased,"1,186","1,343",6.21
Jokihat,18-29,824,Duplicate enrolment,397,427,3.64
Jokihat,30-44,"1,744",Duplicate enrolment,930,814,-6.65
Jokihat,45-60,529,Duplicate enrolment,255,274,3.59
Jokihat,61-75,183,Duplicate enrolment,84,99,8.2
Jokihat,75+,51,Duplicate enrolment,24,27,5.88
Jokihat,18-29,"1,396",Permanently shifted,359,"1,037",48.57
Jokihat,30-44,"2,710",Permanently shifted,978,"1,732",27.82
Jokihat,45-60,"1,225",Permanently shifted,569,656,7.1
Jokihat,61-75,352,Permanently shifted,190,162,-7.95
Jokihat,75+,79,Permanently shifted,32,47,18.99
Jokihat,18-29,675,Untraceable,294,381,12.89
Jokihat,30-44,"1,243",Untraceable,528,715,15.04
Jokihat,45-60,469,Untraceable,203,266,13.43
Jokihat,61-75,165,Untraceable,74,91,10.3
Jokihat,75+,76,Untraceable,34,42,10.53
Sikti,18-29,304,Deceased,147,157,3.29
Sikti,30-44,"1,092",Deceased,496,596,9.16
Sikti,45-60,"2,502",Deceased,"1,031","1,471",17.59
Sikti,61-75,"3,629",Deceased,"1,751","1,878",3.5
Sikti,75+,"2,409",Deceased,"1,157","1,252",3.94
Sikti,18-29,877,Duplicate enrolment,423,454,3.53
Sikti,30-44,"1,294",Duplicate enrolment,690,604,-6.65
Sikti,45-60,401,Duplicate enrolment,204,197,-1.75
Sikti,61-75,129,Duplicate enrolment,59,70,8.53
Sikti,75+,35,Duplicate enrolment,13,22,25.71
Sikti,18-29,"1,091",Permanently shifted,275,816,49.59
Sikti,30-44,"2,474",Permanently shifted,947,"1,527",23.44
Sikti,45-60,"1,371",Permanently shifted,671,700,2.12
Sikti,61-75,457,Permanently shifted,234,223,-2.41
Sikti,75+,89,Permanently shifted,47,42,-5.62
Sikti,18-29,370,Untraceable,160,210,13.51
Sikti,30-44,711,Untraceable,317,394,10.83
Sikti,45-60,355,Untraceable,164,191,7.61
Sikti,61-75,136,Untraceable,56,80,17.65
Sikti,75+,44,Untraceable,22,22,0
Bahadurganj,18-29,305,Deceased,120,185,21.31
Bahadurganj,30-44,"1,156",Deceased,508,648,12.11
Bahadurganj,45-60,"2,318",Deceased,"1,016","1,302",12.34
Bahadurganj,61-75,"3,490",Deceased,"1,692","1,798",3.04
Bahadurganj,75+,"2,213",Deceased,"1,013","1,200",8.45
Bahadurganj,18-29,879,Duplicate enrolment,424,455,3.53
Bahadurganj,30-44,"1,744",Duplicate enrolment,974,770,-11.7
Bahadurganj,45-60,696,Duplicate enrolment,359,337,-3.16
Bahadurganj,61-75,202,Duplicate enrolment,96,106,4.95
Bahadurganj,75+,42,Duplicate enrolment,16,26,23.81
Bahadurganj,18-29,"4,213",Permanently shifted,527,"3,686",74.98
Bahadurganj,30-44,"5,690",Permanently shifted,"1,653","4,037",41.9
Bahadurganj,45-60,"2,063",Permanently shifted,857,"1,206",16.92
Bahadurganj,61-75,618,Permanently shifted,286,332,7.44
Bahadurganj,75+,156,Permanently shifted,62,94,20.51
Bahadurganj,18-29,"2,924",Untraceable,"1,111","1,813",24.01
Bahadurganj,30-44,"4,790",Untraceable,"2,184","2,606",8.81
Bahadurganj,45-60,"1,912",Untraceable,880,"1,032",7.95
Bahadurganj,61-75,744,Untraceable,323,421,13.17
Bahadurganj,75+,351,Untraceable,113,238,35.61
Thakurganj,18-29,257,Deceased,123,134,4.28
Thakurganj,30-44,"1,169",Deceased,493,676,15.65
Thakurganj,45-60,"2,278",Deceased,"1,022","1,256",10.27
Thakurganj,61-75,"3,046",Deceased,"1,369","1,677",10.11
Thakurganj,75+,"1,660",Deceased,724,936,12.77
Thakurganj,18-29,660,Duplicate enrolment,313,347,5.15
Thakurganj,30-44,"1,220",Duplicate enrolment,602,618,1.31
Thakurganj,45-60,380,Duplicate enrolment,171,209,10
Thakurganj,61-75,87,Duplicate enrolment,43,44,1.15
Thakurganj,75+,17,Duplicate enrolment,7,10,17.65
Thakurganj,18-29,"3,230",Permanently shifted,349,"2,881",78.39
Thakurganj,30-44,"4,922",Permanently shifted,"1,311","3,611",46.73
Thakurganj,45-60,"1,873",Permanently shifted,894,979,4.54
Thakurganj,61-75,489,Permanently shifted,252,237,-3.07
Thakurganj,75+,100,Permanently shifted,36,64,28
Thakurganj,18-29,"1,979",Untraceable,817,"1,162",17.43
Thakurganj,30-44,"3,591",Untraceable,"1,556","2,035",13.34
Thakurganj,45-60,"1,500",Untraceable,681,819,9.2
Thakurganj,61-75,588,Untraceable,239,349,18.71
Thakurganj,75+,188,Untraceable,55,133,41.49
Kishanganj,18-29,372,Deceased,186,186,0
Kishanganj,30-44,"1,769",Deceased,879,890,0.62
Kishanganj,45-60,"3,110",Deceased,"1,484","1,626",4.57
Kishanganj,61-75,"4,422",Deceased,"2,285","2,137",-3.35
Kishanganj,75+,"2,718",Deceased,"1,421","1,297",-4.56
Kishanganj,18-29,814,Duplicate enrolment,413,401,-1.47
Kishanganj,30-44,"1,488",Duplicate enrolment,752,736,-1.08
Kishanganj,45-60,477,Duplicate enrolment,233,244,2.31
Kishanganj,61-75,149,Duplicate enrolment,74,75,0.67
Kishanganj,75+,33,Duplicate enrolment,12,21,27.27
Kishanganj,18-29,"4,897",Permanently shifted,900,"3,997",63.24
Kishanganj,30-44,"11,194",Permanently shifted,"2,969","8,225",46.95
Kishanganj,45-60,"4,448",Permanently shifted,"2,099","2,349",5.62
Kishanganj,61-75,"1,543",Permanently shifted,810,733,-4.99
Kishanganj,75+,377,Permanently shifted,163,214,13.53
Kishanganj,18-29,"2,439",Untraceable,961,"1,478",21.2
Kishanganj,30-44,"5,124",Untraceable,"2,100","3,024",18.03
Kishanganj,45-60,"2,382",Untraceable,"1,124","1,258",5.63
Kishanganj,61-75,"1,028",Untraceable,512,516,0.39
Kishanganj,75+,409,Untraceable,171,238,16.38
Kochadhaman,18-29,266,Deceased,110,156,17.29
Kochadhaman,30-44,"1,271",Deceased,563,708,11.41
Kochadhaman,45-60,"2,089",Deceased,932,"1,157",10.77
Kochadhaman,61-75,"3,271",Deceased,"1,582","1,689",3.27
Kochadhaman,75+,"2,251",Deceased,"1,018","1,233",9.55
Kochadhaman,18-29,885,Duplicate enrolment,429,456,3.05
Kochadhaman,30-44,"1,874",Duplicate enrolment,"1,061",813,-13.23
Kochadhaman,45-60,720,Duplicate enrolment,360,360,0
Kochadhaman,61-75,159,Duplicate enrolment,76,83,4.4
Kochadhaman,75+,37,Duplicate enrolment,10,27,45.95
Kochadhaman,18-29,"3,537",Permanently shifted,580,"2,957",67.2
Kochadhaman,30-44,"6,585",Permanently shifted,"1,760","4,825",46.55
Kochadhaman,45-60,"2,620",Permanently shifted,"1,051","1,569",19.77
Kochadhaman,61-75,656,Permanently shifted,321,335,2.13
Kochadhaman,75+,148,Permanently shifted,58,90,21.62
Kochadhaman,18-29,"1,048",Untraceable,380,668,27.48
Kochadhaman,30-44,"1,935",Untraceable,846,"1,089",12.56
Kochadhaman,45-60,894,Untraceable,366,528,18.12
Kochadhaman,61-75,295,Untraceable,127,168,13.9
Kochadhaman,75+,130,Untraceable,46,84,29.23
Amour,18-29,497,Deceased,168,329,32.39
Amour,30-44,"2,105",Deceased,898,"1,207",14.68
Amour,45-60,"3,578",Deceased,"1,450","2,128",18.95
Amour,61-75,"4,979",Deceased,"2,304","2,675",7.45
Amour,75+,"3,245",Deceased,"1,514","1,731",6.69
Amour,18-29,723,Duplicate enrolment,355,368,1.8
Amour,30-44,"1,489",Duplicate enrolment,820,669,-10.14
Amour,45-60,319,Duplicate enrolment,159,160,0.31
Amour,61-75,108,Duplicate enrolment,56,52,-3.7
Amour,75+,23,Duplicate enrolment,9,14,21.74
Amour,18-29,"4,225",Permanently shifted,809,"3,416",61.7
Amour,30-44,"8,282",Permanently shifted,"2,475","5,807",40.23
Amour,45-60,"2,628",Permanently shifted,"1,211","1,417",7.84
Amour,61-75,735,Permanently shifted,353,382,3.95
Amour,75+,204,Permanently shifted,91,113,10.78
Amour,18-29,"3,975",Untraceable,"1,434","2,541",27.85
Amour,30-44,"6,523",Untraceable,"2,748","3,775",15.74
Amour,45-60,"2,016",Untraceable,863,"1,153",14.38
Amour,61-75,910,Untraceable,400,510,12.09
Amour,75+,361,Untraceable,125,236,30.75
Baisi,18-29,357,Deceased,149,208,16.53
Baisi,30-44,"1,453",Deceased,671,782,7.64
Baisi,45-60,"2,788",Deceased,"1,221","1,567",12.41
Baisi,61-75,"3,216",Deceased,"1,550","1,666",3.61
Baisi,75+,"1,836",Deceased,889,947,3.16
Baisi,18-29,603,Duplicate enrolment,246,357,18.41
Baisi,30-44,779,Duplicate enrolment,353,426,9.37
Baisi,45-60,188,Duplicate enrolment,78,110,17.02
Baisi,61-75,42,Duplicate enrolment,20,22,4.76
Baisi,75+,19,Duplicate enrolment,7,12,26.32
Baisi,18-29,"2,799",Permanently shifted,541,"2,258",61.34
Baisi,30-44,"4,412",Permanently shifted,"1,504","2,908",31.82
Baisi,45-60,"1,691",Permanently shifted,801,890,5.26
Baisi,61-75,348,Permanently shifted,181,167,-4.02
Baisi,75+,92,Permanently shifted,32,60,30.43
Baisi,18-29,"1,682",Untraceable,489,"1,193",41.85
Baisi,30-44,"2,781",Untraceable,"1,173","1,608",15.64
Baisi,45-60,957,Untraceable,448,509,6.37
Baisi,61-75,340,Untraceable,139,201,18.24
Baisi,75+,162,Untraceable,51,111,37.04
Kasba,18-29,343,Deceased,185,158,-7.87
Kasba,30-44,"1,975",Deceased,"1,030",945,-4.3
Kasba,45-60,"3,845",Deceased,"1,861","1,984",3.2
Kasba,61-75,"4,033",Deceased,"2,029","2,004",-0.62
Kasba,75+,"2,064",Deceased,935,"1,129",9.4
Kasba,18-29,"1,130",Duplicate enrolment,580,550,-2.65
Kasba,30-44,"1,785",Duplicate enrolment,919,866,-2.97
Kasba,45-60,457,Duplicate enrolment,226,231,1.09
Kasba,61-75,129,Duplicate enrolment,60,69,6.98
Kasba,75+,29,Duplicate enrolment,19,10,-31.03
Kasba,18-29,"3,399",Permanently shifted,"1,147","2,252",32.51
Kasba,30-44,"7,868",Permanently shifted,"2,934","4,934",25.42
Kasba,45-60,"3,278",Permanently shifted,"1,568","1,710",4.33
Kasba,61-75,784,Permanently shifted,383,401,2.3
Kasba,75+,216,Permanently shifted,86,130,20.37
Kasba,18-29,"1,067",Untraceable,525,542,1.59
Kasba,30-44,"2,125",Untraceable,921,"1,204",13.32
Kasba,45-60,808,Untraceable,373,435,7.67
Kasba,61-75,229,Untraceable,102,127,10.92
Kasba,75+,69,Untraceable,19,50,44.93
Banmankhi (SC),18-29,379,Deceased,195,184,-2.9
Banmankhi (SC),30-44,"1,872",Deceased,934,938,0.21
Banmankhi (SC),45-60,"3,890",Deceased,"1,897","1,993",2.47
Banmankhi (SC),61-75,"4,097",Deceased,"2,031","2,066",0.85
Banmankhi (SC),75+,"2,228",Deceased,"1,061","1,167",4.76
Banmankhi (SC),18-29,727,Duplicate enrolment,342,385,5.91
Banmankhi (SC),30-44,"1,032",Duplicate enrolment,546,486,-5.81
Banmankhi (SC),45-60,315,Duplicate enrolment,151,164,4.13
Banmankhi (SC),61-75,83,Duplicate enrolment,45,38,-8.43
Banmankhi (SC),75+,25,Duplicate enrolment,12,13,4
Banmankhi (SC),18-29,"3,558",Permanently shifted,"1,067","2,491",40.02
Banmankhi (SC),30-44,"8,509",Permanently shifted,"3,203","5,306",24.72
Banmankhi (SC),45-60,"4,422",Permanently shifted,"2,222","2,200",-0.5
Banmankhi (SC),61-75,"1,058",Permanently shifted,562,496,-6.24
Banmankhi (SC),75+,331,Permanently shifted,132,199,20.24
Banmankhi (SC),18-29,934,Untraceable,364,570,22.06
Banmankhi (SC),30-44,"1,885",Untraceable,882,"1,003",6.42
Banmankhi (SC),45-60,918,Untraceable,449,469,2.18
Banmankhi (SC),61-75,269,Untraceable,134,135,0.37
Banmankhi (SC),75+,90,Untraceable,38,52,15.56
Rupauli,18-29,306,Deceased,142,164,7.19
Rupauli,30-44,"1,553",Deceased,735,818,5.34
Rupauli,45-60,"2,864",Deceased,"1,321","1,543",7.75
Rupauli,61-75,"3,223",Deceased,"1,619","1,604",-0.47
Rupauli,75+,"1,752",Deceased,769,983,12.21
Rupauli,18-29,718,Duplicate enrolment,352,366,1.95
Rupauli,30-44,"1,662",Duplicate enrolment,825,837,0.72
Rupauli,45-60,680,Duplicate enrolment,347,333,-2.06
Rupauli,61-75,167,Duplicate enrolment,86,81,-2.99
Rupauli,75+,38,Duplicate enrolment,19,19,0
Rupauli,18-29,"2,812",Permanently shifted,852,"1,960",39.4
Rupauli,30-44,"7,269",Permanently shifted,"2,776","4,493",23.62
Rupauli,45-60,"4,581",Permanently shifted,"2,271","2,310",0.85
Rupauli,61-75,"1,052",Permanently shifted,538,514,-2.28
Rupauli,75+,275,Permanently shifted,123,152,10.55
Rupauli,18-29,"1,175",Untraceable,442,733,24.77
Rupauli,30-44,"2,974",Untraceable,"1,352","1,622",9.08
Rupauli,45-60,"1,587",Untraceable,783,804,1.32
Rupauli,61-75,490,Untraceable,210,280,14.29
Rupauli,75+,149,Untraceable,44,105,40.94
Dhamdaha,18-29,352,Deceased,203,149,-15.34
Dhamdaha,30-44,"2,247",Deceased,"1,156","1,091",-2.89
Dhamdaha,45-60,"4,798",Deceased,"2,447","2,351",-2
Dhamdaha,61-75,"5,357",Deceased,"2,752","2,605",-2.74
Dhamdaha,75+,"3,294",Deceased,"1,579","1,715",4.13
Dhamdaha,18-29,983,Duplicate enrolment,512,471,-4.17
Dhamdaha,30-44,"1,935",Duplicate enrolment,"1,020",915,-5.43
Dhamdaha,45-60,663,Duplicate enrolment,332,331,-0.15
Dhamdaha,61-75,182,Duplicate enrolment,86,96,5.49
Dhamdaha,75+,58,Duplicate enrolment,25,33,13.79
Dhamdaha,18-29,"4,064",Permanently shifted,"1,408","2,656",30.71
Dhamdaha,30-44,"8,729",Permanently shifted,"3,289","5,440",24.64
Dhamdaha,45-60,"4,591",Permanently shifted,"2,333","2,258",-1.63
Dhamdaha,61-75,"1,061",Permanently shifted,522,539,1.6
Dhamdaha,75+,271,Permanently shifted,122,149,9.96
Dhamdaha,18-29,"1,141",Untraceable,525,616,7.98
Dhamdaha,30-44,"1,985",Untraceable,897,"1,088",9.62
Dhamdaha,45-60,908,Untraceable,463,445,-1.98
Dhamdaha,61-75,224,Untraceable,108,116,3.57
Dhamdaha,75+,74,Untraceable,28,46,24.32
Purnia,18-29,202,Deceased,100,102,0.99
Purnia,30-44,"1,525",Deceased,917,608,-20.26
Purnia,45-60,"3,162",Deceased,"1,767","1,395",-11.76
Purnia,61-75,"3,773",Deceased,"2,107","1,666",-11.69
Purnia,75+,"2,404",Deceased,"1,264","1,140",-5.16
Purnia,18-29,601,Duplicate enrolment,289,312,3.83
Purnia,30-44,"1,128",Duplicate enrolment,576,552,-2.13
Purnia,45-60,524,Duplicate enrolment,279,245,-6.49
Purnia,61-75,156,Duplicate enrolment,81,75,-3.85
Purnia,75+,43,Duplicate enrolment,16,27,25.58
Purnia,18-29,"2,122",Permanently shifted,704,"1,418",33.65
Purnia,30-44,"7,403",Permanently shifted,"2,987","4,416",19.3
Purnia,45-60,"4,282",Permanently shifted,"2,259","2,023",-5.51
Purnia,61-75,"1,325",Permanently shifted,719,606,-8.53
Purnia,75+,339,Permanently shifted,187,152,-10.32
Purnia,18-29,"3,152",Untraceable,"1,455","1,697",7.68
Purnia,30-44,"9,348",Untraceable,"4,389","4,959",6.1
Purnia,45-60,"5,526",Untraceable,"2,998","2,528",-8.51
Purnia,61-75,"2,007",Untraceable,"1,060",947,-5.63
Purnia,75+,820,Untraceable,414,406,-0.98
Katihar,18-29,119,Deceased,64,55,-7.56
Katihar,30-44,503,Deceased,272,231,-8.15
Katihar,45-60,896,Deceased,474,422,-5.8
Katihar,61-75,"1,245",Deceased,652,593,-4.74
Katihar,75+,670,Deceased,323,347,3.58
Katihar,18-29,445,Duplicate enrolment,194,251,12.81
Katihar,30-44,686,Duplicate enrolment,336,350,2.04
Katihar,45-60,317,Duplicate enrolment,170,147,-7.26
Katihar,61-75,107,Duplicate enrolment,55,52,-2.8
Katihar,75+,17,Duplicate enrolment,7,10,17.65
Katihar,18-29,"1,970",Permanently shifted,548,"1,422",44.37
Katihar,30-44,"4,818",Permanently shifted,"1,979","2,839",17.85
Katihar,45-60,"2,645",Permanently shifted,"1,414","1,231",-6.92
Katihar,61-75,947,Permanently shifted,517,430,-9.19
Katihar,75+,210,Permanently shifted,97,113,7.62
Katihar,18-29,"1,306",Untraceable,535,771,18.07
Katihar,30-44,"3,471",Untraceable,"1,624","1,847",6.42
Katihar,45-60,"1,792",Untraceable,950,842,-6.03
Katihar,61-75,728,Untraceable,370,358,-1.65
Katihar,75+,200,Untraceable,84,116,16
Kadwa,18-29,359,Deceased,152,207,15.32
Kadwa,30-44,"1,810",Deceased,946,864,-4.53
Kadwa,45-60,"2,812",Deceased,"1,323","1,489",5.9
Kadwa,61-75,"4,164",Deceased,"1,998","2,166",4.03
Kadwa,75+,"2,627",Deceased,"1,214","1,413",7.58
Kadwa,18-29,"1,052",Duplicate enrolment,514,538,2.28
Kadwa,30-44,"1,728",Duplicate enrolment,858,870,0.69
Kadwa,45-60,344,Duplicate enrolment,159,185,7.56
Kadwa,61-75,112,Duplicate enrolment,61,51,-8.93
Kadwa,75+,20,Duplicate enrolment,11,9,-10
Kadwa,18-29,"3,521",Permanently shifted,799,"2,722",54.62
Kadwa,30-44,"6,960",Permanently shifted,"2,337","4,623",32.84
Kadwa,45-60,"2,067",Permanently shifted,951,"1,116",7.98
Kadwa,61-75,612,Permanently shifted,300,312,1.96
Kadwa,75+,159,Permanently shifted,60,99,24.53
Kadwa,18-29,542,Untraceable,217,325,19.93
Kadwa,30-44,936,Untraceable,436,500,6.84
Kadwa,45-60,274,Untraceable,140,134,-2.19
Kadwa,61-75,123,Untraceable,54,69,12.2
Kadwa,75+,52,Untraceable,22,30,15.38
Balrampur,18-29,363,Deceased,150,213,17.36
Balrampur,30-44,"1,398",Deceased,613,785,12.3
Balrampur,45-60,"2,056",Deceased,951,"1,105",7.49
Balrampur,61-75,"2,943",Deceased,"1,354","1,589",7.99
Balrampur,75+,"1,500",Deceased,596,904,20.53
Balrampur,18-29,832,Duplicate enrolment,412,420,0.96
Balrampur,30-44,"1,229",Duplicate enrolment,616,613,-0.24
Balrampur,45-60,285,Duplicate enrolment,120,165,15.79
Balrampur,61-75,107,Duplicate enrolment,52,55,2.8
Balrampur,75+,27,Duplicate enrolment,8,19,40.74
Balrampur,18-29,"3,750",Permanently shifted,899,"2,851",52.05
Balrampur,30-44,"6,963",Permanently shifted,"2,308","4,655",33.71
Balrampur,45-60,"2,174",Permanently shifted,"1,065","1,109",2.02
Balrampur,61-75,735,Permanently shifted,368,367,-0.14
Balrampur,75+,184,Permanently shifted,68,116,26.09
Balrampur,18-29,"1,479",Untraceable,590,889,20.22
Balrampur,30-44,"2,245",Untraceable,999,"1,246",11
Balrampur,45-60,698,Untraceable,329,369,5.73
Balrampur,61-75,266,Untraceable,118,148,11.28
Balrampur,75+,85,Untraceable,27,58,36.47
Pranpur,18-29,256,Deceased,121,135,5.47
Pranpur,30-44,"1,098",Deceased,538,560,2
Pranpur,45-60,"1,679",Deceased,782,897,6.85
Pranpur,61-75,"2,331",Deceased,"1,134","1,197",2.7
Pranpur,75+,"1,157",Deceased,507,650,12.36
Pranpur,18-29,707,Duplicate enrolment,285,422,19.38
Pranpur,30-44,927,Duplicate enrolment,463,464,0.11
Pranpur,45-60,148,Duplicate enrolment,69,79,6.76
Pranpur,61-75,43,Duplicate enrolment,18,25,16.28
Pranpur,75+,8,Duplicate enrolment,4,4,0
Pranpur,18-29,"2,390",Permanently shifted,540,"1,850",54.81
Pranpur,30-44,"3,894",Permanently shifted,"1,383","2,511",28.97
Pranpur,45-60,"1,241",Permanently shifted,587,654,5.4
Pranpur,61-75,388,Permanently shifted,208,180,-7.22
Pranpur,75+,72,Permanently shifted,31,41,13.89
Pranpur,18-29,"2,855",Untraceable,"1,107","1,748",22.45
Pranpur,30-44,"4,634",Untraceable,"2,083","2,551",10.1
Pranpur,45-60,"1,272",Untraceable,587,685,7.7
Pranpur,61-75,604,Untraceable,259,345,14.24
Pranpur,75+,203,Untraceable,74,129,27.09
Manihari (ST),18-29,290,Deceased,156,134,-7.59
Manihari (ST),30-44,"1,056",Deceased,550,506,-4.17
Manihari (ST),45-60,"2,209",Deceased,"1,045","1,164",5.39
Manihari (ST),61-75,"3,337",Deceased,"1,629","1,708",2.37
Manihari (ST),75+,"2,436",Deceased,"1,075","1,361",11.74
Manihari (ST),18-29,"1,049",Duplicate enrolment,523,526,0.29
Manihari (ST),30-44,"1,135",Duplicate enrolment,570,565,-0.44
Manihari (ST),45-60,374,Duplicate enrolment,195,179,-4.28
Manihari (ST),61-75,120,Duplicate enrolment,64,56,-6.67
Manihari (ST),75+,24,Duplicate enrolment,11,13,8.33
Manihari (ST),18-29,"3,200",Permanently shifted,"1,143","2,057",28.56
Manihari (ST),30-44,"5,182",Permanently shifted,"2,077","3,105",19.84
Manihari (ST),45-60,"3,678",Permanently shifted,"1,809","1,869",1.63
Manihari (ST),61-75,"1,266",Permanently shifted,675,591,-6.64
Manihari (ST),75+,299,Permanently shifted,145,154,3.01
Manihari (ST),18-29,716,Untraceable,346,370,3.35
Manihari (ST),30-44,666,Untraceable,302,364,9.31
Manihari (ST),45-60,315,Untraceable,142,173,9.84
Manihari (ST),61-75,122,Untraceable,58,64,4.92
Manihari (ST),75+,35,Untraceable,15,20,14.29
Barari,18-29,258,Deceased,122,136,5.43
Barari,30-44,"1,114",Deceased,573,541,-2.87
Barari,45-60,"1,958",Deceased,990,968,-1.12
Barari,61-75,"2,691",Deceased,"1,270","1,421",5.61
Barari,75+,"2,144",Deceased,986,"1,158",8.02
Barari,18-29,765,Duplicate enrolment,364,401,4.84
Barari,30-44,857,Duplicate enrolment,419,438,2.22
Barari,45-60,178,Duplicate enrolment,83,95,6.74
Barari,61-75,51,Duplicate enrolment,22,29,13.73
Barari,75+,9,Duplicate enrolment,6,3,-33.33
Barari,18-29,"2,225",Permanently shifted,717,"1,508",35.55
Barari,30-44,"4,204",Permanently shifted,"1,471","2,733",30.02
Barari,45-60,"2,354",Permanently shifted,"1,152","1,202",2.12
Barari,61-75,757,Permanently shifted,389,368,-2.77
Barari,75+,191,Permanently shifted,87,104,8.9
Barari,18-29,816,Untraceable,304,512,25.49
Barari,30-44,"1,134",Untraceable,478,656,15.7
Barari,45-60,505,Untraceable,226,279,10.5
Barari,61-75,163,Untraceable,56,107,31.29
Barari,75+,73,Untraceable,19,54,47.95
Korha (SC),18-29,339,Deceased,163,176,3.83
Korha (SC),30-44,"1,825",Deceased,"1,002",823,-9.81
Korha (SC),45-60,"2,823",Deceased,"1,466","1,357",-3.86
Korha (SC),61-75,"3,821",Deceased,"1,883","1,938",1.44
Korha (SC),75+,"2,416",Deceased,"1,152","1,264",4.64
Korha (SC),18-29,955,Duplicate enrolment,456,499,4.5
Korha (SC),30-44,"1,581",Duplicate enrolment,772,809,2.34
Korha (SC),45-60,434,Duplicate enrolment,194,240,10.6
Korha (SC),61-75,159,Duplicate enrolment,76,83,4.4
Korha (SC),75+,31,Duplicate enrolment,11,20,29.03
Korha (SC),18-29,"2,760",Permanently shifted,898,"1,862",34.93
Korha (SC),30-44,"4,869",Permanently shifted,"1,803","3,066",25.94
Korha (SC),45-60,"2,275",Permanently shifted,"1,075","1,200",5.49
Korha (SC),61-75,618,Permanently shifted,308,310,0.32
Korha (SC),75+,156,Permanently shifted,56,100,28.21
Korha (SC),18-29,201,Untraceable,76,125,24.38
Korha (SC),30-44,224,Untraceable,97,127,13.39
Korha (SC),45-60,77,Untraceable,32,45,16.88
Korha (SC),61-75,34,Untraceable,17,17,0
Korha (SC),75+,18,Untraceable,5,13,44.44
Alamnagar,18-29,364,Deceased,191,173,-4.95
Alamnagar,30-44,"1,617",Deceased,765,852,5.38
Alamnagar,45-60,"2,883",Deceased,"1,308","1,575",9.26
Alamnagar,61-75,"3,319",Deceased,"1,606","1,713",3.22
Alamnagar,75+,"1,765",Deceased,808,957,8.44
Alamnagar,18-29,"1,329",Duplicate enrolment,672,657,-1.13
Alamnagar,30-44,"1,786",Duplicate enrolment,953,833,-6.72
Alamnagar,45-60,530,Duplicate enrolment,264,266,0.38
Alamnagar,61-75,120,Duplicate enrolment,61,59,-1.67
Alamnagar,75+,27,Duplicate enrolment,9,18,33.33
Alamnagar,18-29,"4,376",Permanently shifted,"1,397","2,979",36.15
Alamnagar,30-44,"8,090",Permanently shifted,"3,100","4,990",23.36
Alamnagar,45-60,"3,725",Permanently shifted,"1,867","1,858",-0.24
Alamnagar,61-75,992,Permanently shifted,526,466,-6.05
Alamnagar,75+,197,Permanently shifted,90,107,8.63
Alamnagar,18-29,561,Untraceable,226,335,19.43
Alamnagar,30-44,621,Untraceable,292,329,5.96
Alamnagar,45-60,237,Untraceable,131,106,-10.55
Alamnagar,61-75,75,Untraceable,37,38,1.33
Alamnagar,75+,24,Untraceable,9,15,25
Bihariganj,18-29,256,Deceased,118,138,7.81
Bihariganj,30-44,"1,151",Deceased,560,591,2.69
Bihariganj,45-60,"2,259",Deceased,"1,109","1,150",1.81
Bihariganj,61-75,"2,811",Deceased,"1,369","1,442",2.6
Bihariganj,75+,"1,338",Deceased,621,717,7.17
Bihariganj,18-29,851,Duplicate enrolment,419,432,1.53
Bihariganj,30-44,909,Duplicate enrolment,453,456,0.33
Bihariganj,45-60,195,Duplicate enrolment,85,110,12.82
Bihariganj,61-75,52,Duplicate enrolment,30,22,-15.38
Bihariganj,75+,11,Duplicate enrolment,7,4,-27.27
Bihariganj,18-29,"2,541",Permanently shifted,782,"1,759",38.45
Bihariganj,30-44,"4,936",Permanently shifted,"1,798","3,138",27.15
Bihariganj,45-60,"2,269",Permanently shifted,"1,172","1,097",-3.31
Bihariganj,61-75,579,Permanently shifted,308,271,-6.39
